company,type,address,price,sq_meter_price,area,n_rooms,floor,build_year,market
,Mieszkanie,Gdañsk Sobieszewo,491500,12262.97,40.08,2,2,0,pierwotny
Your Estate,Dom bliŸniak,Czaple,550000,4530,121.42,5,0,0,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",323755,7300,44.35,2,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",266100,7500,35.48,2,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",355656,7300,48.72,2,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",366825,7300,50.25,2,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",266844,7400,36.06,2,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",291375,7500,38.85,2,2,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",370833,7100,52.23,3,2,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",387192,6800,56.94,3,2,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",290894,7400,39.31,2,2,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",371543,7100,52.33,3,1,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",387872,6800,57.04,3,1,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",422625,6900,61.25,3,0,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",393576,6900,57.04,3,0,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",349776,7200,48.58,3,0,2022,pierwotny
Tyszkiewicz - Nieruchomoœci,Mieszkanie,"Gdañsk Œw. Wojciech, Kazimierza Wielkiego",401122.26,6534,61.39,3,2,2020,pierwotny
Navigat Nieruchomoœci,Mieszkanie,Gdynia Oksywie,421830,8660,48.71,3,2,2021,pierwotny
Tyszkiewicz - Nieruchomoœci,Mieszkanie,"Gdañsk Œw. Wojciech, Kazimierza Wielkiego",375955.56,6858,54.82,3,0,2020,pierwotny
Tyszkiewicz - Nieruchomoœci,Mieszkanie,"Gdañsk Œw. Wojciech, Kazimierza Wielkiego",361856.16,6642,54.48,3,1,2020,pierwotny
Expander,Mieszkanie,Rumia,364143,5292,68.81,3,3,0,pierwotny
Expander,Mieszkanie,Reda,374868,5400,69.42,3,4,0,pierwotny
Expander,Mieszkanie,Reda,386946,5886,65.74,3,5,0,pierwotny
Expander,Mieszkanie,Rumia,363719,5292,68.73,3,4,0,pierwotny
Expander,Mieszkanie,Reda,352020,5832,60.36,3,5,0,pierwotny
Expander,Mieszkanie,Reda,290388,6642,43.72,2,5,0,pierwotny
Expander,Mieszkanie,Reda,514076,5702,90.16,4,12,0,pierwotny
Navigat Nieruchomoœci,Mieszkanie,Gdynia Oksywie,422054,8251,51.15,3,0,2021,pierwotny
Navigat Nieruchomoœci,Mieszkanie,Gdynia Oksywie,485030,8257,58.74,4,2,2020,pierwotny
Expander,Mieszkanie,Reda,295021,6048,48.78,3,2,0,pierwotny
Expander,Mieszkanie,Reda,306452,6048,50.67,3,1,2021,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",399446,7100,56.26,3,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",257325,7500,34.31,1,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",332630,7400,44.95,2,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",471278,6700,70.34,3,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",418276.50,7050,59.33,3,2,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",368277,7100,51.87,3,2,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",541212,6800,79.59,4,2,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",418558.50,7050,59.37,1,1,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",302956,7400,40.94,2,1,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",368277,7100,51.87,3,1,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",541212,6800,79.59,4,1,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",550344,6900,79.76,4,0,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",311144,7600,40.94,2,0,2022,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",449900,4501.25,99.95,4,0,0,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",447000,4472.24,99.95,4,0,0,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",444900,4451.23,99.95,4,0,0,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",447500,4477.24,99.95,4,0,0,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",446400,4466.23,99.95,4,0,0,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",445000,4452.23,99.95,4,0,0,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",448300,4485.24,99.95,4,0,0,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",446200,4464.23,99.95,4,0,0,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",448700,4489.24,99.95,4,0,0,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",444700,4449.22,99.95,4,0,0,pierwotny
White Wood Nieruchomoœci,Mieszkanie,"Gdynia Ma³y Kack, P³ocka",690000,9491,72.70,4,2,2019,pierwotny
Welcome Apartment,Mieszkanie,"Gdañsk Szadó³ki, Potêgowska",491000,6391.56,76.82,4,2,2020,pierwotny
Welcome Apartment,Mieszkanie,"Gdañsk Szadó³ki, Potêgowska",484000,6550.28,73.89,4,2,2020,pierwotny
Welcome Apartment,Mieszkanie,"Gdañsk Szadó³ki, Potêgowska",450000,6599.21,68.19,2,3,2020,pierwotny
Tyszkiewicz - Nieruchomoœci,Mieszkanie,"Gdañsk Szadó³ki, Potêgowska",491000,6410,76.60,4,1,2020,pierwotny
Grupa Inwestycyjna Hossa,Mieszkanie,"Gdañsk Morena, Piecewska",419520.20,9020,46.51,2,9,0,pierwotny
Grupa Inwestycyjna Hossa,Mieszkanie,"Gdañsk Morena, Piecewska",417194.70,8970,46.51,2,6,0,pierwotny
Grupa Inwestycyjna Hossa,Mieszkanie,"Gdañsk Morena, Piecewska",418128.75,8775,47.65,1,3,0,pierwotny
Metrohouse S.A.,Mieszkanie,"Gdañsk Rêbowo, Jab³oniowa",443688,8400,52.82,3,1,0,pierwotny
Metrohouse S.A.,Mieszkanie,"Gdañsk Ujeœcisko, Jab³oniowa",304587,8700,35.01,2,1,0,pierwotny
Metrohouse S.A.,Mieszkanie,"Gdañsk Ujeœcisko, Jab³oniowa",496240,8000,62.03,3,1,0,pierwotny
JMK Development,Mieszkanie,"Gdañsk Che³m, Madaliñskiego 7",536034,8200,65.37,3,1,2021,pierwotny
JMK Development,Mieszkanie,"Gdañsk Che³m, Madaliñskiego 7",590652,8100,72.92,3,1,2021,pierwotny
Pepper House,Mieszkanie,"Kosakowo, Kminkowa",437000,4940,88.47,5,0,2021,pierwotny
JMK Development,Mieszkanie,"Gdañsk Che³m, Madaliñskiego 7",392160,8600,45.60,2,1,2021,pierwotny
Pepper House,Dom bliŸniak,"Gdañsk Che³m, Cienista",849000,6696,126.80,3,0,2021,pierwotny
JMK Development,Mieszkanie,"Gdañsk Che³m, Madaliñskiego",594216.50,8150,72.91,3,0,2021,pierwotny
Pepper House,Dom bliŸniak,"Kosakowo, Kminkowa",440100,4975,88.47,5,0,2021,pierwotny
Pepper House,Dom bliŸniak,"Kosakowo, Astrowa",445800,5039,88.47,5,0,2021,pierwotny
Pepper House,Mieszkanie,"Kosakowo, Kminkowa",445000,5030,88.47,4,0,2021,pierwotny
Pepper House,Dom bliŸniak,"Kosakowo, Kminkowa",444700,5027,88.47,4,0,2021,pierwotny
Navigat Nieruchomoœci,Mieszkanie,Gdynia Oksywie,495516,8459,58.58,4,3,2021,pierwotny
,Mieszkanie,"Gdynia Oksywie, Bosmañska",300000,8850,33.90,2,1,2021,pierwotny
Magic House,Dom bliŸniak,"Kosakowo, Kminkowa",444300,4445.22,99.95,4,0,0,pierwotny
Take Home biuro Developera,Mieszkanie,"Reda, Obwodowa",308902,5670.01,54.48,3,5,2022,pierwotny
Take Home biuro Developera,Mieszkanie,"Reda, Obwodowa",309452,5691.59,54.37,3,4,2022,pierwotny
Take Home biuro Developera,Mieszkanie,"Rumia, Kosynierów",363719,5285.85,68.81,3,4,2021,pierwotny
Take Home biuro Developera,Mieszkanie,"Reda, Obwodowa",305342,5616,54.37,3,1,2022,pierwotny
3City Invest,Mieszkanie,"Gdynia Ma³y Kack, Fizylierów 1",629000,8692.65,72.36,3,3,2021,pierwotny
3City Invest,Mieszkanie,"Gdynia Ma³y Kack, Fizylierów 1",640000,8096.14,79.05,4,3,2021,pierwotny
3City Invest,Mieszkanie,"Gdynia Ma³y Kack, Fizylierów 1",630000,7969.64,79.05,4,2,2021,pierwotny
3City Invest,Mieszkanie,"Gdynia Ma³y Kack, Fizylierów 1",584000,8070.76,72.36,3,1,2021,pierwotny
3City Invest,Mieszkanie,"Gdynia Ma³y Kack, Fizylierów 1",519000,8681.83,59.78,3,1,2021,pierwotny
3City Invest,Mieszkanie,"Gdynia Ma³y Kack, Fizylierów 1",605000,7653.38,79.05,4,1,2021,pierwotny
3City Invest,Mieszkanie,"Gdynia Ma³y Kack, Fizylierów 1",569000,7860.20,72.39,3,0,2021,pierwotny
3City Invest,Mieszkanie,"Gdynia Ma³y Kack, Fizylierów 1",499000,8347.27,59.78,3,0,2021,pierwotny
3City Invest,Mieszkanie,"Gdynia Ma³y Kack, Fizylierów 1",725000,7906.22,91.70,5,0,2021,pierwotny
3City Invest,Mieszkanie,"Gdynia Chylonia, Masztowa 21",449000,7649.06,58.70,2,2,2020,pierwotny
Dekpol,Mieszkanie,Gdañsk,920040,17844,51.56,3,0,0,pierwotny
Space Nieruchomoœci,Mieszkanie,Gdañsk Œw. Wojciech,415192,6696.65,62,3,0,2020,pierwotny
Dom & House,Mieszkanie,"Gdañsk Œródmieœcie, Wa³owa",375928.57,11799,31.86,1,2,0,pierwotny
,Dom szeregowy,"Gdañsk Che³m, Damazego Tilgnera",735700,5938,123.90,4,0,2021,pierwotny
,Mieszkanie,"Gdynia Oksywie, Bosmañska",449314,7603,59.10,4,3,2020,pierwotny
Take Home biuro Developera,Mieszkanie,"Rumia, Jeziorna",284110,5943.72,47.80,2,1,2022,pierwotny
Take Home biuro Developera,Mieszkanie,"Gdynia Oksywie, Nasypowa",444972,7516.42,59.20,4,2,2020,pierwotny
Take Home biuro Developera,Mieszkanie,"Gdynia Oksywie, Nasypowa",449314,7602.61,59.10,4,3,2020,pierwotny
,Mieszkanie,"Starogard Gdañski, Powstañców Warszawskich",316539,5376,58.88,3,3,2021,pierwotny
,Mieszkanie,"Starogard Gdañski, Powstañców Warszawskich",242593,5684,42.68,2,3,2021,pierwotny
Inpro,Mieszkanie,"Gdañsk Szadó³ki, Stê¿ycka",412613.46,6426,64.21,3,1,2020,pierwotny
My Place,Mieszkanie,Gdynia Witomino,521000,9184,56.73,3,9,0,pierwotny
Inpro,Mieszkanie,"Gdañsk Szadó³ki, Stê¿ycka",412934.76,6426,64.26,3,1,2020,pierwotny
Expander,Mieszkanie,"Gdañsk £ostowice, Niepo³omicka",299124,7115,42.04,2,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",324996,7300,44.52,2,3,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",337747,7100,47.57,3,1,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",290894,7400,39.31,2,1,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",299820,7600,39.45,2,0,2022,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",429663,6900,62.27,3,0,2022,pierwotny
Welcome Apartment,Mieszkanie,"Sobieszewo Lazur Park, Kwiatowa",356000,10000,35.60,2,0,2021,pierwotny
Welcome Apartment,Mieszkanie,"Gdañsk Che³m, Pastelowa",544900,5350.02,101.85,4,3,2020,pierwotny
Welcome Apartment,Mieszkanie,"Sobieszewo Lazur Park, Kwiatowa",440000,9766.93,45.05,2,3,2021,pierwotny
IDEA Nieruchomoœci,Mieszkanie,"Gdañsk £ostowice, Niepo³omicka",499000,5072.68,98.37,4,1,2020,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",399000,5453.05,73.17,4,4,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",320000,5614.04,57,3,4,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",229000,6282.58,36.45,2,4,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",285000,5407.97,52.70,3,3,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",389000,5316.39,73.17,3,3,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",267000,5776.72,46.22,2,3,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",310000,5438.60,57,3,3,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",225000,6172.84,36.45,2,3,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",280000,5313.09,52.70,3,2,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",379000,5179.72,73.17,4,2,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",263000,5690.18,46.22,2,2,2022,pierwotny
Magic House,Mieszkanie,"Reda, Wiejska",599000,3915.03,153,5,0,2020,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",310000,5438.60,57,3,2,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",223000,6117.97,36.45,2,2,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",299000,5665.02,52.78,3,1,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",440000,6017.51,73.12,4,1,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",335000,5871.01,57.06,3,1,2022,pierwotny
HS Dom Deweloper,Mieszkanie,"Rumia, Kosynierów",222000,6092.21,36.44,2,1,2022,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Morena,659000,8486,77.66,3,3,2020,pierwotny
Take Home biuro Developera,Mieszkanie,"Reda, D³uga",346994,4698,73.86,3,2,2021,pierwotny
Take Home biuro Developera,Mieszkanie,"Reda, D³uga",207230,4859.99,42.64,2,0,2021,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",491000,9121.31,53.83,3,2,2021,pierwotny
Baltic Hus,Mieszkanie,Gdañsk Sobieszewo,407407,9043.44,45.05,2,2,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",522500,9254,56.46,3,0,0,pierwotny
,Mieszkanie,"Gdynia Oksywie, Bosmañska",291679,8123,35.91,2,1,2021,pierwotny
,Mieszkanie,"Gdynia Oksywie, Bosmañska",382099,7790,49.05,3,1,2021,pierwotny
,Mieszkanie,"Gdynia Oksywie, Bosmañska",391447,7790,50.25,4,2,2021,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",435500,9667,45.05,2,1,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",467000,9436,49.49,3,2,2021,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",352500,9902,35.60,2,1,2021,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",348000,9775,35.60,2,0,2021,pierwotny
Welcome Apartment,Mieszkanie,"Sobieszewo Lazur Park, Kwiatowa",519000,9192.35,56.46,3,2,2021,pierwotny
Welcome Apartment,Mieszkanie,"Sobieszewo Villa Neptun, Nadwiœlañska",518000,12339.21,41.98,2,0,2021,pierwotny
Welcome Apartment,Mieszkanie,"Sobieszewo Villa Neptun, Nadwiœlañska",470000,12348.92,38.06,2,1,2021,pierwotny
Welcome Apartment,Mieszkanie,"Sobieszewo Villa Neptun, Nadwiœlañska",686500,11836.21,58,3,0,2021,pierwotny
,Mieszkanie,Gdañsk Stare Przedmieœcie,515114,9120.29,56.48,2,1,0,pierwotny
Agencja - Orfin Nieruchomoœci,Mieszkanie,"Gdañsk Œródmieœcie, Stara Stocznia",772658,16580.64,46.60,2,0,2021,pierwotny
Sadecki Nieruchomoœci,Dom szeregowy,"Banino, Halna",690000,4480.52,154,5,0,2019,pierwotny
Agencja - Orfin Nieruchomoœci,Mieszkanie,"Gdañsk Œródmieœcie, Stara Stocznia",1966179,16195.87,121.40,4,2,2021,pierwotny
Baltic Hus,Mieszkanie,Gdañsk Sobieszewo,403240,8950.94,45.05,2,1,0,pierwotny
Baltic Hus,Mieszkanie,Gdañsk Sobieszewo,811000,14045.72,57.74,3,1,0,pierwotny
U¿lis Nieruchomoœci,Mieszkanie,Tczew,327000,5128,63.77,4,3,2020,pierwotny
U¿lis Nieruchomoœci,Mieszkanie,Tczew,341000,5180,65.83,3,3,2020,pierwotny
Semar Deweloper Sp. z o.o.,Dom bliŸniak,"Bojano, Aleja Brzozowa",545000,4395.16,124,5,1,2020,pierwotny
Victus Apartamenty Sopot,Dom bliŸniak,"Sopot Dolny Sopot, Dworcowa 1",1631550,15538.57,105,4,0,2020,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",425926,8826,48.26,3,0,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",496296,8510,58.32,3,1,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",321296,9035,35.56,2,1,0,pierwotny
Baltic Hus,Mieszkanie,Gdañsk Sobieszewo,483796,8568.83,56.46,3,0,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",479000,12585,38.06,2,0,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",439000,9744.73,45.05,2,0,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",423983,9833,43.12,2,1,2021,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",391869,10614,36.92,2,0,2021,pierwotny
Metrohouse S.A.,Mieszkanie,"Gdynia Oksywie, Nasypowa",343734,8850,38.84,2,0,0,pierwotny
Metrohouse S.A.,Mieszkanie,"Gdynia Oksywie, Nasypowa",306396,8737,35.07,2,0,0,pierwotny
Metrohouse S.A.,Mieszkanie,"Gdynia Oksywie, Nasypowa",470442,8050,58.44,3,2,0,pierwotny
Metrohouse S.A.,Mieszkanie,"Gdynia Oksywie, Nasypowa",531974,8850,60.11,4,0,0,pierwotny
Baltic Hus,Mieszkanie,Gdañsk Sobieszewo,496296,8509.88,58.32,3,1,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",389430,10547.94,36.92,2,0,0,pierwotny
PARTNERZY Nieruchomoœci,Mieszkanie,"Gdañsk Wrzeszcz, Kliniczna",389000,12337,31.53,2,5,2021,pierwotny
,Mieszkanie,"Gdynia Oksywie, Bosmañska",321463,8550,37.60,2,3,2021,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",421138,10031.87,41.98,2,0,0,pierwotny
Alicja Stuchlik Nieruchomoœci,Dom bliŸniak,"Koleczkowo, Partyzantów Kaszubskich",499000,3936,126.78,5,0,2020,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",423984,9832.65,43.12,2,2,0,pierwotny
3City Invest,Mieszkanie,"Gdynia Chylonia, Masztowa 21",399000,7572.59,52.69,3,1,2020,pierwotny
3City Invest,Mieszkanie,"Gdynia Chylonia, Masztowa 21",429000,8172.99,52.49,3,2,2020,pierwotny
3City Invest,Mieszkanie,"Gdynia Chylonia, Masztowa 21",389000,7588.76,51.26,2,2,2020,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",553500,12262,45.14,2,0,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",339000,9522,35.60,2,2,2021,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",356000,10000,35.60,2,0,2021,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",470000,12349,38.06,2,1,0,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Kwiatowa",491000,9121,53.83,3,1,2021,pierwotny
Welcome Apartment,Mieszkanie,"Gdañsk Œródmieœcie, Stara Stocznia",788839,16642.17,47.40,2,3,2021,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",399593,9970,40.08,2,2,0,pierwotny
Welcome Apartment,Mieszkanie,"Gdañsk Œródmieœcie, Stara Stocznia",756688,16449.74,46,2,1,2021,pierwotny
Andrzejczyk Nieruchomoœci,Mieszkanie,"Gdañsk BrzeŸno, Hallera Józefa",495000,15000,33,2,2,2020,pierwotny
Nowodworski Estates,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska",558130,9623,58,3,0,0,pierwotny
Meerhouse Nieruchomoœci,Mieszkanie,Pruszcz Gdañski,230000,7374.16,31.19,1,1,2020,pierwotny
Marina,Mieszkanie,Sopot Górny Sopot,1990000,14191,140.23,5,0,2023,pierwotny
Marina,Mieszkanie,Sopot Górny Sopot,712000,13847,51.42,2,3,2023,pierwotny
Baltic Hus,Mieszkanie,Gdañsk Sobieszewo,686500,11836.21,58,3,0,0,pierwotny
Dom & House,Dom,"Miszewko, Admira³a Andrzeja Karwety",539000,3993,135,5,0,2020,pierwotny
Grupa Inwestycyjna Hossa,Mieszkanie,"Gdañsk Wrzeszcz, Karola Szymanowskiego",940000,13930,67.48,3,1,2019,pierwotny
Robyg Grupa Deweloperska,Mieszkanie,"Gdañsk Letnica, Starowiejska",413000,9549.13,43.25,2,10,2021,pierwotny
Robyg Grupa Deweloperska,Mieszkanie,"Gdañsk Letnica , Starowiejska 50",382000,9883.57,38.65,2,9,2021,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",1013993,10499,96.58,4,4,2020,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",825754,10031,82.32,3,1,2020,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",878134,10667,82.32,3,4,2020,pierwotny
Welcome Apartment,Mieszkanie,"Wiœlinka Sol Marina, £¹kowa",1156815,17612.90,65.68,3,2,2021,pierwotny
Welcome Apartment,Mieszkanie,"Wiœlinka Sol Marina, £¹kowa",809340,19483.39,41.54,2,1,2021,pierwotny
Welcome Apartment,Mieszkanie,"Wiœlinka Sol Marina, £¹kowa",1164810,17251.33,67.52,3,1,2021,pierwotny
Pepper House,Dom bliŸniak,"Gdynia D¹browa, Kminkowa",519000,4398,118,4,0,2020,pierwotny
,Mieszkanie,"Gdynia Oksywie, Bosmañska",245602,9271,26.49,1,1,2021,pierwotny
,Mieszkanie,"Gdynia Oksywie, Bosmañska",300000,8000,37.50,2,3,2021,pierwotny
,Mieszkanie,"Gdynia Oksywie, Bosmañska",290586,8317,34.94,2,1,2021,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",998115,10335,96.58,4,3,2020,pierwotny
Prooferty Nieruchomoœci,Mieszkanie,"Kartuzy, Kolejowa",469000,5299,88.50,4,0,2020,pierwotny
Prooferty Nieruchomoœci,Mieszkanie,"Kartuzy, Kolejowa",368000,6486,56.74,2,0,2020,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",561969,10075,55.78,2,3,2020,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",851944,10349,82.32,3,3,2020,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",569223,10075,56.50,2,3,2020,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",582121,9651,60.32,2,3,2020,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",538597,9651,55.81,2,3,2020,pierwotny
Dom & House,Dom,"Miszewko, Admira³a Andrzeja Karwety",599000,4437,135,5,0,2020,pierwotny
Dom & House,Dom,"Miszewko, Admira³a Andrzeja Karwety",639000,4733,135,5,0,2020,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",843214,10243,82.32,3,2,2020,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rumia,414612,5400,76.78,4,0,2021,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",987873,10229,96.58,4,2,2020,pierwotny
G&G Nieruchomoœci i Finanse,Mieszkanie,Gdañsk Œw. Wojciech,453320,6290,72.07,4,1,2022,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",533533,9332,57.17,1,2,2020,pierwotny
Biuro Nieruchomoœci Zbigniew Ziarnik,Mieszkanie,"Gdañsk Stare Przedmieœcie, Wilcza",526813,9332,56.45,1,2,2020,pierwotny
Welcome Apartment,Mieszkanie,"Wiœlinka Sol Marina, £¹kowa",900360,17100.85,52.65,3,1,2021,pierwotny
