company,type,address,price,sq_meter_price,area,n_rooms,floor,build_year,market
VOLTAC,Mieszkanie,"Pruszcz Gdañski, Jaros³awa D¹browskiego",419000,5563,75.32,4,1,2020,pierwotny
My Place,Mieszkanie,"Gdynia Oksywie, In¿. J. Œmidowicza",287768,10400,27.67,1,1,2020,pierwotny
My Place,Mieszkanie,"Gdynia Oksywie, In¿. J. Œmidowicza",341369,9350,36.51,2,1,2020,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",269076,6800,39.57,2,2,2021,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",256476,6700,38.28,2,2,2021,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",267512,6800,39.34,2,2,2021,pierwotny
Sylwia Kryszewska Nieruchomoœci,Mieszkanie,"Pruszcz Gdañski, Ró¿yny",274000,5247.03,52.22,2,0,2020,pierwotny
My Place,Mieszkanie,"Gdynia Oksywie, In¿. J. Œmidowicza",319599,9450,33.82,2,1,2020,pierwotny
My Place,Mieszkanie,"Gdynia Oksywie, In¿. J. Œmidowicza",316201,9550,33.11,2,1,2020,pierwotny
My Place,Mieszkanie,"Gdynia Oksywie, In¿. J. Œmidowicza",363809,9350,38.91,2,3,2020,pierwotny
Sieciowa Agencja Nieruchomoœci,Mieszkanie,"Bolszewo, Polna",143728,5200,27.64,1,0,2021,pierwotny
Inpro,Mieszkanie,"Gdañsk Szadó³ki, Stê¿ycka",271933.20,7128,38.15,1,0,2020,pierwotny
Sieciowa Agencja Nieruchomoœci,Mieszkanie,"Bolszewo, Polna",197029,4900,40.21,3,0,2021,pierwotny
Sieciowa Agencja Nieruchomoœci,Mieszkanie,"Bolszewo, Polna",240492,4900,49.08,3,0,2021,pierwotny
Pepper House,Dom wolnostoj¹cy,"Borkowo, Raduñska",975000,3250,300,4,0,2020,pierwotny
Home4.pl Nieruchomoœci,Dom szeregowy,"Gdañsk Szadó³ki, Jab³oniowa",407000,6261.54,65,3,0,2021,pierwotny
Home4.pl Nieruchomoœci,Dom bliŸniak,Straszyn,394000,4601.73,85.62,4,0,2022,pierwotny
Magic House,Mieszkanie,"Bojano, Rzemieœlnicza",565000,4520,125,5,0,2021,pierwotny
Invest Nieruchomoœci,Dom bliŸniak,Bielkówko,549000,4223.08,130,5,0,2021,pierwotny
Robyg Grupa Deweloperska,Mieszkanie,"Gdañsk Jasieñ, Jab³oniowa",358352,7004.53,51.16,3,0,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk £ostowice,298156,6550,45.52,2,0,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdynia Pogórze,464750,6250,74.36,4,0,2022,pierwotny
Alter Ego Nieruchomoœci,Dom bliŸniak,Czeczewo,429000,3319.66,129.23,4,0,2021,pierwotny
GR Nieruchomoœci,Mieszkanie,Gdañsk Wrzeszcz,447544,8600,52.04,2,3,2020,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdynia Pogórze,373392.41,6573.81,56.80,3,1,2022,pierwotny
dr nieruchomoœci,Mieszkanie,"Gdañsk £ostowice, Pastelowa",395000,6475.41,61,3,4,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk £ostowice,260144,7100,36.64,2,0,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Sobieszewo,339000,9533.18,35.56,2,2,2021,pierwotny
dr nieruchomoœci,Mieszkanie,"Gdañsk Ujeœcisko, D¹brówki",458000,9161.83,49.99,2,0,0,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Sobieszewo,439500,9755.83,45.05,2,0,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdynia Pogórze,268367.50,6976.02,38.47,2,0,2022,pierwotny
GR Nieruchomoœci,Mieszkanie,Gdañsk Wrzeszcz,467590,9500,49.22,2,7,2020,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Sobieszewo,491000,9121.31,53.83,3,1,2021,pierwotny
dr nieruchomoœci,Mieszkanie,"Gdañsk Morena, Myœliwska",634500,9982.69,63.56,3,1,2020,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Sobieszewo,491500,12262.97,40.08,2,1,0,pierwotny
