company,address,price,sq_meter_price,area,n_rooms,floor,build_year,type
Archideon Development,"Straszyn Juszkowo, Chabrowa",535 000 z³,"3 474,03 z³",154,6,1,2020,Dom szeregowy
Dekpol,"Gdañsk Sobieszewo, Nadwiœlañska 38",491 500 z³,12 263 z³,"40,08",2,1,,Mieszkanie
Dekpol,Gdañsk,997 530 z³,17 276 z³,"57,74",3,1,,Mieszkanie
,Czaple,710 000 z³,"3 697,92 z³",192,6,,2021,Dom bliŸniak
Dekpol,"Gdañsk Morena, Myœliwska",649 000 z³,8 401 z³,"77,25",3,3,2019,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","412 542,72 z³",7 452 z³,"55,36",3,3,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","307 333,44 z³",7 668 z³,"40,08",2,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","303 422,76 z³",7 668 z³,"39,57",2,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","303 422,76 z³",7 668 z³,"39,57",2,Parter,2021,Mieszkanie
Pepper House,"Warzenko, Œwierkowa",529 000 z³,"3 590,09 z³","147,35",5,,2020,Dom bliŸniak
Dom & House,"Puck, Nowy Œwiat",720 327 z³,"10 605,52 z³","67,92",4,3,2020,Mieszkanie
MPol Investment,"Gdynia Ma³y Kack, Lidzka",378 420 z³,10 200 z³,"37,10",2,2,2021,Mieszkanie
ACTIVA AP,"Pruszcz Gdañski Rotmanka, ul. Zaczarowana",383 643 z³,5 850 z³,"65,58",3,2,2019,Mieszkanie
ACTIVA AP,"Pruszcz Gdañski, ul. D¹browskiego",589 000 z³,"4 120,61 z³","142,94",4,Parter,2019,Mieszkanie
PARTNERZY Nieruchomoœci,"Gdañsk £ostowice, Wielkopolska",265 000 z³,8 488 z³,"31,22",1,4,2020,Mieszkanie
Portal Office Sp. z o.o,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",773 871 z³,12 900 z³,"59,99",3,Parter,2020,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","482 666,04 z³",7 452 z³,"64,77",3,3,2021,Mieszkanie
JMK Development,"Gdañsk Che³m, Madaliñskiego 7",541 741 z³,8 300 z³,"65,27",3,Parter,2021,Mieszkanie
Budner Inwestycje,"Gdañsk Letnica, Starowiejska 63",550 867 z³,7 900 z³,"69,73",3,3,2021,Mieszkanie
Budner Inwestycje,"Gdañsk Letnica, Starowiejska 63",485 728 z³,8 600 z³,"56,48",3,6,2021,Mieszkanie
Budner Inwestycje,"Gdañsk Oliwa, Karwieñska 1E",956 000 z³,"21 010,99 z³","45,50",2,2,2020,Mieszkanie
Portal Office Sp. z o.o,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",602 526 z³,13 700 z³,"43,98",2,Parter,2020,Mieszkanie
Domesta Sp. z o.o.,"Gdañsk Ujeœcisko, Vaclawa Havla","471 381,10 z³",9 072 z³,"51,96",3,1,2022,Mieszkanie
Domesta Sp. z o.o.,"Gdañsk Siedlce, Struga","342 856,80 z³",9 990 z³,"34,32",2,1,2022,Mieszkanie
Pepper House,"Gdañsk Szadó³ki, Oliwkowa",899 000 z³,5 999 z³,"149,85",4,,2021,Dom bliŸniak
Pepper House,"Gdañsk £ostowice, Marii Kureckiej",779 000 z³,5 120 z³,"152,15",5,,2020,Dom bliŸniak
Pepper House,"Warzenko, Œwierkowa",529 000 z³,3 590 z³,"147,35",5,,2020,Dom bliŸniak
Portal Office Sp. z o.o,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",741 718 z³,13 700 z³,"54,14",3,2,2020,Mieszkanie
My Place,Rumia,353 472 z³,6 400 z³,"55,23",3,1,2021,Mieszkanie
My Place,"Rumia Lotnisko, Apolinarego Formeli",300 780 z³,6 000 z³,"50,13",3,1,2020,Mieszkanie
My Place,Gdañsk Szadó³ki,450 000 z³,6 590 z³,"68,29",3,3,,Mieszkanie
My Place,Gdañsk Szadó³ki,491 000 z³,6 410 z³,"76,60",4,1,,Mieszkanie
Portal Office Sp. z o.o,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",360 983 z³,13 900 z³,"25,97",1,3,2020,Mieszkanie
MPol Investment,"Gdynia Ma³y Kack, Lidzka",598 920 z³,10 500 z³,"57,04",3,3,2021,Mieszkanie
INDAI,"Gdañsk Wrzeszcz, Ko³³ataja 2",872 953 z³,13 608 z³,"64,15",3,4,2021,Mieszkanie
INDAI,"Gdañsk Wrzeszcz, Ko³³¹taja","374 997,60 z³",14 580 z³,"25,72",1,4,2021,Mieszkanie
INDAI,"Gdañsk Wrzeszcz, Ko³³¹taja 2",955 908 z³,10 800 z³,"88,51",4,1,2021,Mieszkanie
Dekpol,"Gdañsk £ostowice, Pastelowa",549 900 z³,5 209 z³,"105,57",3,3,,Mieszkanie
Dekpol,"Gdañsk £ostowice, Pastelowa",549 900 z³,5 209 z³,"105,57",3,3,,Mieszkanie
Dekpol,Gdañsk,808 110 z³,19 491 z³,"41,46",2,1,,Mieszkanie
Budros,"Gdynia Dzia³ki Leœne, Pomorska",700 342 z³,10 600 z³,"66,07",3,1,2021,Mieszkanie
Dekpol,"Gdañsk Morena, Myœliwska",980 500 z³,8 148 z³,"120,33",4,3,2019,Mieszkanie
Willbud,"Rumia Janowo, B³oñ Janowskich","293 460,66 z³",6 199 z³,"47,34",2,Parter,2021,Mieszkanie
Willbud,"Rumia Janowo, B³oñ Janowskich","284 100,17 z³",6 199 z³,"45,83",2,Parter,2021,Mieszkanie
Verre Home,"Gdynia Ob³u¿e, Kuœnierska",445 885 z³,6 699 z³,"66,56",4,2,2021,Mieszkanie
Verre Home,"Gdynia Ob³u¿e, Kuœnierska",447 225 z³,6 699 z³,"66,76",4,1,2021,Mieszkanie
Verre Home,"Gdynia Ob³u¿e, Kuœnierska",405 022 z³,6 699 z³,"60,46",3,2,2021,Mieszkanie
Verre Home,"Gdynia Ob³u¿e, Kuœnierska",370 656 z³,6 699 z³,"55,33",3,Parter,2021,Mieszkanie
BRS Invest,"Gdañsk Matarnia, Filmowa",730 000 z³,"4 866,67 z³",150,5,1,2020,Dom bliŸniak
PB SZYMICHOWSKI,"Pruszcz Gdañski, Cicha","372 315,96 z³",6 372 z³,"58,43",3,3,2021,Mieszkanie
AMprojekt,"B¹kowo, Orla",458 000 z³,"3 343,07 z³",137,4,Parter,2022,Dom szeregowy
AMprojekt,"B¹kowo, Orla",378 000 z³,"3 705,88 z³",102,4,Parter,2021,Dom szeregowy
AMprojekt,"B¹kowo, Orla",628 000 z³,"3 588,57 z³",175,5,Parter,2021,Dom bliŸniak
AMprojekt,"B¹kowo, Orla",548 000 z³,"3 341,46 z³",164,5,Parter,2022,Dom szeregowy
AMprojekt,"Gdañsk Jasieñ - Zabornia, Stolema",1 148 000 z³,"7 388,34 z³","155,38",5,2,2021,Dom bliŸniak
AMprojekt,"Gdañsk Jasieñ - Zabornia, Stolema",1 198 000 z³,"7 710,13 z³","155,38",5,2,2021,Dom bliŸniak
AMprojekt,"Gdañsk Jasieñ - Zabornia, Stolema",1 148 000 z³,"7 388,34 z³","155,38",5,2,2021,Dom bliŸniak
AMprojekt,"Gdañsk Jasieñ - Zabornia, Stolema",1 098 000 z³,"7 210,88 z³","152,27",5,2,2021,Dom bliŸniak
AMprojekt,"Gdañsk Jasieñ - Zabornia, Stolema",1 298 000 z³,"8 353,71 z³","155,38",5,2,2021,Dom bliŸniak
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","466 171,20 z³",7 128 z³,"65,40",3,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","466 171,20 z³",7 128 z³,"65,40",3,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","344 727,36 z³",7 344 z³,"46,94",2,1,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","344 727,36 z³",7 344 z³,"46,94",2,2,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","354 491,64 z³",7 474 z³,"47,43",3,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","315 368,64 z³",7 452 z³,"42,32",2,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","586 994,04 z³",7 452 z³,"78,77",4,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","298 676,16 z³",7 452 z³,"40,08",2,1,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, ul. Cicha","296 657,64 z³",6 588 z³,"45,03",2,2,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, Cicha","294 021,36 z³",6 696 z³,"43,91",2,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,Pruszcz Gdañski,"305 925,12 z³",6 912 z³,"44,26",2,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,Pruszcz Gdañski,"569 961,36 z³",6 264 z³,"90,99",4,Parter,2021,Mieszkanie
PB SZYMICHOWSKI,"Pruszcz Gdañski, Cicha","284 000,04 z³",6 372 z³,"44,57",2,Parter,2021,Mieszkanie
Meerhouse Nieruchomoœci,"Gdañsk Szadó³ki, Jab³oniowa",409 000 z³,8 293 z³,"49,32",2,1,2020,Mieszkanie
Meerhouse Nieruchomoœci,"Gdañsk Wrzeszcz, Boles³awa Chrobrego",507 000 z³,10 833 z³,"46,80",1,1,2021,Mieszkanie
Meerhouse Nieruchomoœci,"Gdañsk Wrzeszcz, Boles³awa Chrobrego",674 000 z³,10 658 z³,"63,24",3,4,2021,Mieszkanie
City House,"Gdañsk, Migda³owa",950 000 z³,"6 293,47 z³","150,95",5,Parter,2020,Dom szeregowy
City House,"Gdañsk, Migda³owa",790 000 z³,"7 383,18 z³",107,4,Parter,2020,Dom szeregowy
City House,"Gdañsk, Olchowa",990 000 z³,"6 734,69 z³",147,4,Parter,2021,Dom
City House,"Gdañsk, Olchowa",990 000 z³,"6 734,69 z³",147,4,Parter,2021,Dom
City House,"Gdañsk, Migda³owa 128",1 750 000 z³,"7 731,39 z³","226,35",6,Parter,2020,Dom wolnostoj¹cy
City House,"Gdañsk, Olchowa",1 190 000 z³,"8 041,63 z³","147,98",4,,2022,Dom szeregowy
City House,"Gdañsk, Migda³owa",990 000 z³,"6 076,23 z³","162,93",4,Parter,2020,Dom szeregowy
North Star Development,"Pruszcz Gdañski, sikorskiego 36",213 444 z³,6 300 z³,"33,88",1,2,2019,Mieszkanie
Nook Invest,Bojano,389 000 z³,"3 870,65 z³","100,50",5,,2021,Dom bliŸniak
Budros,"Kowale, Glazurowa",299 260 z³,6 500 z³,"46,04",2,4,2022,Mieszkanie
Dom & House,"Puck, Nowy Œwiat",652 307 z³,10 434 z³,"62,52",3,3,2020,Mieszkanie
City House,"Gdañsk, Olchowa",1 400 000 z³,"7 239,26 z³","193,39",5,Parter,2021,Dom
City House,"Gdañsk, Migda³owa",750 000 z³,"7 009,35 z³",107,4,Parter,2020,Dom szeregowy
City House,"Gdañsk, Migda³owa",800 000 z³,"7 476,64 z³",107,4,Parter,2020,Dom szeregowy
City House,"Gdañsk, Migda³owa",800 000 z³,"7 476,64 z³",107,4,Parter,2020,Dom szeregowy
City House,"Gdañsk, Olchowa",1 750 000 z³,"7 967,22 z³","219,65",5,,2020,Dom wolnostoj¹cy
City House,"Gdañsk, Olchowa",990 000 z³,"6 690,09 z³","147,98",4,,2022,Dom szeregowy
City House,"Gdañsk, Olchowa",1 290 000 z³,"8 717,39 z³","147,98",4,,2022,Dom szeregowy
City House,"Gdañsk, Olchowa",990 000 z³,"6 690,09 z³","147,98",4,,2022,Dom szeregowy
City House,"Gdañsk, Olchowa",1 100 000 z³,"7 432,43 z³",148,4,,2022,Dom szeregowy
City House,"Gdañsk, Olchowa",1 100 000 z³,"7 432,43 z³",148,4,,2022,Dom szeregowy
Domesta Sp. z o.o.,"Gdañsk £ostowice, Niepo³omicka","441 992,70 z³",6 966 z³,"63,45",3,5,2020,Mieszkanie
Domesta Sp. z o.o.,"Gdañsk Siedlce, Struga","644 353,40 z³",8 262 z³,"77,99",4,5,2022,Mieszkanie
Domesta Sp. z o.o.,"Gdañsk Siedlce, Struga","539 228,30 z³",7 938 z³,"67,93",3,2,2021,Mieszkanie
Domesta Sp. z o.o.,"Gdañsk Ujeœcisko, Vaclawa Havla","332 677,80 z³",9 828 z³,"33,85",2,4,2022,Mieszkanie
LOKER Sp. z o.o.,"Rumia Bia³a Rzeka, Jêczmienna",401 595 z³,4 100 z³,"97,95",4,1,2021,Mieszkanie
LOKER Sp. z o.o.,"Rumia Bia³a Rzeka, Jêczmienna",340 704 z³,5 600 z³,"60,84",3,Parter,2021,Mieszkanie
LOKER Sp. z o.o.,"Rumia Bia³a Rzeka, Jêczmienna",309 763 z³,"5 389,99 z³","57,47",3,1,2021,Mieszkanie
LOKER Sp. z o.o.,"Rumia Bia³a Rzeka, Jêczmienna",244 113 z³,5 390 z³,"45,29",2,2,2021,Mieszkanie
IDEA Nieruchomoœci,"Gdañsk Osowa, Perseusza",890 000 z³,"7 892,87 z³","112,76",5,Parter,2021,Mieszkanie
IDEA Nieruchomoœci,"Bojano, Zamczysko",259 000 z³,"4 478,64 z³","57,83",3,1,2020,Mieszkanie
ACTIVA AP,"Pruszcz Gdañski, ul. D¹browskiego",612 900 z³,"4 281,82 z³","143,14",6,Parter,2019,Mieszkanie
ACTIVA AP,Pruszcz Gdañski Rotmanka,"393 742,80 z³",6 520 z³,"60,39",3,2,2020,Mieszkanie
ACTIVA AP,Pruszcz Gdañski Rotmanka,327 840 z³,6 830 z³,48,3,3,2020,Mieszkanie
ACTIVA AP,Pruszcz Gdañski Rotmanka,"308 649,50 z³",6 950 z³,"44,41",2,3,2020,Mieszkanie
ACTIVA AP,"Pruszcz Gdañski, Œwiêtego Wojciecha",337 108 z³,7 100 z³,"47,48",3,2,2022,Mieszkanie
