address,price,sq_meter_price,area,n_rooms,floor,build_year,type
AdresBojanoBursztynowa ,1 490 000 z³,4 515 z³,330,7,,2010,Dom wolnostoj¹cy
AdresGdañsk Jasieñ,457 000 z³,"6 960,10 z³","65,66",3,2,2012,Mieszkanie
AdresGdañsk Œródmieœcie,697 000 z³,"10 993,69 z³","63,40",4,1,1920,Mieszkanie
